course_id,acreage,holes,course_type,longitude,latitude,state,state_land_value
239,NA,18,Municipal,-86.079295,34.598099,AL,34754.54545
240,187.4084449,18,Municipal,-86.130105,34.639542,AL,34754.54545
241,58.68723921,9,Private,-86.041767,34.637641,AL,34754.54545
242,NA,18,Public,-86.069645,34.609413,AL,34754.54545
243,119.2823635,18,Semi Private,-87.044127,32.40602,AL,34754.54545
244,NA,9,Public,-86.986899,32.36128,AL,34754.54545
245,NA,9,Semi Private,-87.692605,34.75973,AL,34754.54545
246,216.915943,27,Private,-86.615399,33.43884,AL,34754.54545
247,34.16520047,54,Public,-87.85673,30.670241,AL,34754.54545
248,NA,9,Private,-88.119665,33.837625,AL,34754.54545
249,NA,18,Private,-86.241561,33.216314,AL,34754.54545
250,501.8672636,18,Public,-86.419684,33.11773,AL,34754.54545
251,NA,18,Municipal,-86.107165,33.446152,AL,34754.54545
252,NA,18,Public,-86.071216,33.435546,AL,34754.54545
253,NA,18,Public,-85.947715,32.609354,AL,34754.54545
254,NA,9,Public,-88.23757,30.580861,AL,34754.54545
255,NA,9,Private,-87.762552,31.907746,AL,34754.54545
256,108.1349841,9,Private,-85.965345,31.778483,AL,34754.54545
257,NA,9,Public,-85.955571,31.802189,AL,34754.54545
258,110.1853899,18,Public,-86.55624,33.603457,AL,34754.54545
259,60.10782111,18,Municipal,-87.534657,33.260213,AL,34754.54545
260,86.05942884,18,Private,-87.46721,33.155495,AL,34754.54545
261,92.871022,18,Semi Private,-87.584279,33.205993,AL,34754.54545
262,122.546192,18,Semi Private,-87.541789,33.23371,AL,34754.54545
263,239.2165935,18,Semi Private,-87.498139,33.294354,AL,34754.54545
264,127.6024524,9,Municipal,-87.695097,34.715528,AL,34754.54545
265,127.6024524,9,Private,-87.704489,34.718458,AL,34754.54545
266,NA,18,Semi Private,-86.568835,34.419236,AL,34754.54545
267,NA,9,Private,-85.72653,32.152813,AL,34754.54545
268,NA,18,Public,-87.115341,32.486742,AL,34754.54545
269,NA,9,Public,-85.202628,32.702326,AL,34754.54545
270,111.7575625,18,Private,-86.681762,33.491622,AL,34754.54545
271,325.4140192,18,Public,-86.105816,32.448205,AL,34754.54545
272,163.1430261,18,Public,-86.227318,32.563393,AL,34754.54545
273,58.85730034,9,Private,-88.313146,32.510017,AL,34754.54545
274,104.96203,18,Public,-86.779392,33.512479,AL,34754.54545
275,151.701399,18,Public,-87.560594,33.155844,AL,34754.54545
276,NA,18,Public,-94.16868,35.500064,AR,30881.81818
277,NA,18,Public,-94.15348,35.493705,AR,30881.81818
278,155.9072192,18,Public,-93.09088,34.14483,AR,30881.81818
279,182.8851043,18,Public,-94.01366,33.712909,AR,30881.81818
280,NA,18,Public,-94.131614,33.692565,AR,30881.81818
281,NA,9,Private,-91.274188,35.284923,AR,30881.81818
282,63.12627402,9,Public,-91.591594,35.313464,AR,30881.81818
283,NA,9,Public,-94.303348,35.296597,AR,30881.81818
284,51.50943566,9,Municipal,-91.636614,35.758832,AR,30881.81818
285,NA,9,Private,-91.62625,35.768137,AR,30881.81818
286,230.2969172,18,Public,-91.583536,35.748918,AR,30881.81818
287,63.84617132,126,Private,-94.193794,36.456498,AR,30881.81818
288,NA,18,Public,-92.551093,34.60085,AR,30881.81818
289,122.2768633,18,Public,-92.653712,34.530638,AR,30881.81818
290,20.67890911,9,Public,-94.184783,36.349281,AR,30881.81818
291,NA,9,Public,-93.595458,36.381646,AR,30881.81818
292,235.2097576,18,Municipal,-93.163421,34.255162,AR,30881.81818
293,NA,9,Public,-93.159963,34.280331,AR,30881.81818
294,247.9346692,18,Municipal,-89.920237,35.950081,AR,30881.81818
295,130.0293766,18,Private,-89.911007,35.950614,AR,30881.81818
296,NA,18,Public,-93.894188,35.14363,AR,30881.81818
297,NA,9,Private,-91.228206,34.856172,AR,30881.81818
298,133.694618,18,Semi Private,-92.521604,34.605737,AR,30881.81818
299,NA,18,Public,-92.585217,36.364377,AR,30881.81818
300,171.0253019,18,Private,-91.979856,34.935244,AR,30881.81818
301,208.1448856,36,Public,-92.063556,35.022134,AR,30881.81818
302,NA,18,Semi Private,-92.861865,33.585389,AR,30881.81818
303,62.84637211,9,Public,-92.735186,33.615139,AR,30881.81818
304,142.8016821,18,Public,-94.236941,36.246757,AR,30881.81818
305,NA,18,Semi Private,-91.551334,36.317763,AR,30881.81818
306,164.7488959,18,Semi Private,-91.595674,36.288613,AR,30881.81818
307,NA,9,Public,-91.154559,34.69131,AR,30881.81818
308,NA,9,Public,-93.487037,35.450776,AR,30881.81818
309,30.99019995,9,Public,-92.445717,35.584084,AR,30881.81818
310,40.10560225,18,Semi Private,-92.501924,35.101208,AR,30881.81818
311,110.1952253,18,Semi Private,-92.480488,35.086774,AR,30881.81818
312,26.6999019,9,Public,-92.483753,35.107429,AR,30881.81818
313,NA,18,Public,-92.473809,35.049963,AR,30881.81818
314,59.37983282,9,Municipal,-90.571705,36.40584,AR,30881.81818
315,NA,9,Private,-91.896602,33.175525,AR,30881.81818
316,348.7703225,18,Public,-93.371005,35.105832,AR,30881.81818
317,NA,18,Public,-93.215378,35.25786,AR,30881.81818
318,NA,18,Private,-94.278822,34.046782,AR,30881.81818
319,NA,9,Private,-91.385147,34.305869,AR,30881.81818
320,NA,18,Public,-92.922129,36.46558,AR,30881.81818
321,NA,18,Public,-92.056779,35.559388,AR,30881.81818
322,136.615081,18,Municipal,-92.647674,33.236988,AR,30881.81818
323,99.72257609,18,Private,-92.661157,33.238957,AR,30881.81818
324,219.1834881,18,Public,-92.731619,33.227591,AR,30881.81818
325,87.94093532,9,Private,-92.011471,34.542492,AR,30881.81818
326,6.417348372,18,Private,-92.249026,35.619657,AR,30881.81818
327,NA,18,Public,-92.288285,35.610854,AR,30881.81818
328,NA,18,Public,-94.262382,36.012815,AR,30881.81818
329,115.2818456,18,Private,-94.157179,36.029947,AR,30881.81818
330,117.7224475,18,Private,-94.130007,36.118802,AR,30881.81818
331,265.835245,18,Semi Private,-94.201823,36.13177,AR,30881.81818
332,11.18797752,9,Public,-94.159746,36.09962,AR,30881.81818
333,NA,18,Public,-94.19474,36.097964,AR,30881.81818
334,NA,18,Public,-94.112647,36.045276,AR,30881.81818
335,NA,9,Public,-94.211993,36.079466,AR,30881.81818
336,NA,9,Private,-92.469942,33.813018,AR,30881.81818
337,117.6660708,18,Private,-90.780207,35.008165,AR,30881.81818
338,71.23624948,9,Private,-90.767642,35.060809,AR,30881.81818
339,NA,45,Municipal,-94.354514,35.326029,AR,30881.81818
340,NA,18,Semi Private,-94.413055,35.293613,AR,30881.81818
341,147.9070836,18,Semi Private,-94.384052,35.349195,AR,30881.81818
342,NA,9,Public,-94.370373,35.425037,AR,30881.81818
343,269.6933452,9,Public,-94.370224,35.318144,AR,30881.81818
344,18.86043806,9,Public,-94.37663,35.326946,AR,30881.81818
345,NA,18,Public,-93.505799,34.338358,AR,30881.81818
346,NA,9,Public,-92.31987,35.279956,AR,30881.81818
347,52.45332789,18,Public,-94.226664,35.200598,AR,30881.81818
348,51.36593738,9,Private,-93.142201,33.872164,AR,30881.81818
349,38.61066243,18,Public,-93.127951,36.263359,AR,30881.81818
350,NA,9,Public,-93.137437,36.253133,AR,30881.81818
351,NA,9,Public,-91.575256,34.822943,AR,30881.81818
352,NA,18,Semi Private,-92.106171,35.496522,AR,30881.81818
353,NA,18,Public,-91.966041,35.504502,AR,30881.81818
354,NA,9,Public,-91.961962,35.486465,AR,30881.81818
355,43.77175228,9,Public,-92.039816,35.523462,AR,30881.81818
356,127.7535178,27,Public,-93.72561,36.461261,AR,30881.81818
357,NA,18,Private,-93.579263,33.631352,AR,30881.81818
358,NA,18,Public,-91.759992,36.218556,AR,30881.81818
359,234.915496,18,Public,-91.764348,36.229235,AR,30881.81818
360,140.795648,18,Public,-93.009484,34.546205,AR,30881.81818
361,437.6418643,18,Private,-92.938687,34.634737,AR,30881.81818
362,197.5912858,18,Private,-92.946674,34.643742,AR,30881.81818
363,288.3769277,27,Private,-92.985694,34.699148,AR,30881.81818
364,174.2399265,18,Private,-93.042658,34.667498,AR,30881.81818
365,391.0288375,18,Private,-92.86302,34.649326,AR,30881.81818
366,34.58388045,36,Private,-92.86296,34.635184,AR,30881.81818
367,220.9994278,18,Private,-92.89353,34.626501,AR,30881.81818
368,522.4918807,18,Private,-92.893593,34.650653,AR,30881.81818
369,452.4320236,18,Semi Private,-92.863411,34.641651,AR,30881.81818
370,NA,18,Public,-92.949232,34.437534,AR,30881.81818
371,253.9615539,36,Public,-93.030801,34.480592,AR,30881.81818
372,NA,9,Public,-92.979683,34.456312,AR,30881.81818
373,NA,9,Public,-92.983786,34.470837,AR,30881.81818
374,NA,9,Public,-93.013932,34.513328,AR,30881.81818
375,NA,18,Public,-92.669502,35.070607,AR,30881.81818
376,NA,18,Public,-93.765053,36.084287,AR,30881.81818
377,95.92780827,18,Public,-92.083817,34.89208,AR,30881.81818
378,70.14264962,18,Public,-92.167757,34.948717,AR,30881.81818
379,98.3297033,18,Private,-90.692519,35.82864,AR,30881.81818
380,135.9600915,18,Private,-90.77086,35.813537,AR,30881.81818
381,92.71956755,9,Public,-90.681585,35.792648,AR,30881.81818
382,314.3707763,18,Public,-90.636611,35.887027,AR,30881.81818
383,86.16620739,9,Public,-91.263602,33.36141,AR,30881.81818
384,58.88659014,9,Municipal,-90.66307,34.576837,AR,30881.81818
385,NA,18,Semi Private,-92.146144,34.895409,AR,30881.81818
386,NA,18,Municipal,-92.357074,34.694825,AR,30881.81818
387,239.3246863,27,Municipal,-92.317886,34.779182,AR,30881.81818
388,NA,18,Municipal,-92.334989,34.751879,AR,30881.81818
389,239.3246863,18,Private,-92.322689,34.771807,AR,30881.81818
390,298.0990991,18,Private,-92.405525,34.779389,AR,30881.81818
391,329.314876,36,Semi Private,-92.473894,34.780896,AR,30881.81818
392,132.4732164,18,Semi Private,-92.42943,34.675311,AR,30881.81818
393,144.4314474,27,Public,-92.347679,34.711672,AR,30881.81818
394,322.0375515,18,Public,-91.924208,34.79164,AR,30881.81818
395,NA,9,Private,-92.721215,33.405716,AR,30881.81818
396,NA,9,Public,-94.145548,36.254758,AR,30881.81818
