course_name,city,state,street_address,zip_code,holes,course_type,final_acreage,acreage_source,longitude,latitude
Potowomut Golf Club,East Greenwich,RI,439 Ives Rd,02818-4613,18,Private,115.7691823250858,OSM (Medium Reliability),-71.425662,41.659851
East Greenwich Golf & Country,East Greenwich,RI,1646 Division Rd,02818-1207,9,Public,65.01737049829426,OSM (Medium Reliability),-71.510638,41.661797
Metacomet Country Club,East Providence,RI,500 Veterans Memorial Pkwy,02914-5322,18,Private,,No Match Found,-71.384194,41.805959
Exeter Country Club,Exeter,RI,320 Ten Rod Rd,02822-3108,18,Public,181.458325126223,OSM (Medium Reliability),-71.546873,41.577813
Foster Country Club,Foster,RI,67 Johnson Rd,02825-1318,18,Public,142.10881860365788,OSM (Medium Reliability),-71.750752,41.75225
Glocester Country Club,Harmony,RI,Putnam Pike,02829,9,Private,36.41317123143272,OSM (Medium Reliability),-71.588081,41.885303
Melody Hill Golf Course,Harmony,RI,55 Melody Hill Lane,02829,18,Public,126.26632817291726,OSM (Medium Reliability),-71.60857,41.884942
Crystal Lake Golf Club,Harrisville,RI,100 Bronco Hwy,02830,18,Public,,No Match Found,-71.645519,41.96529
Country View Golf Club,Harrisville,RI,49 Club Ln,02830-1811,18,Public,103.56230066223802,OSM (Medium Reliability),-71.606481,41.943706
Lindhbrook Country Club,Hope Valley,RI,299 Woodville Alton Rd,02832-2545,18,Public,,No Match Found,-71.73001,41.476862
Wood River Golf,Hope Valley,RI,78A Woodville Alton Rd,02832-2417,18,Public,56.32890946497116,OSM (Medium Reliability),-71.723755,41.44896
Fenner Hill Country Club,Hope Valley,RI,33 Wheeler Ln,02832-1919,18,Public,143.18186574877834,OSM (Medium Reliability),-71.723183,41.495954
Jamestown Golf Course,Jamestown,RI,245 Conanicus Ave,02835-1522,9,Public,71.82425348377534,OSM (Medium Reliability),-71.364717,41.505739
Kirkbrae Country Club,Lincoln,RI,197 Old River Rd,02865-1113,18,Private,132.95146275145126,OSM (Medium Reliability),-71.461743,41.945086
Lincoln Country Club,Lincoln,RI,Dexter Rock Road,02865,9,Private,54.3250359286247,OSM (Medium Reliability),-71.43329,41.91597
