TMK,dominant_zone_class,golf_clipped_acres,recorded_area_acres,course_name,expected_taxable,dominant_zone_description,geometry_reproduced_this_run
84020014,AG-2,0.12296639923946563,4.838,Makaha Valley Country Club,TRUE,AG-2 General Agriculture District,TRUE
84023025,AG-2,0.08933155654289336,10.46,Makaha Valley Country Club,TRUE,AG-2 General Agriculture District,TRUE
41013020,AG-2,0.028583153441616837,1.5,Unknown,TRUE,AG-2 General Agriculture District,TRUE
57001055,B-1,5.146408113451885,10.823,Kulima Golf Course,TRUE,B-1 Neighborhood Business District,TRUE
57001051,B-1,3.3647060665445756,3.371,Kulima Golf Course,TRUE,B-1 Neighborhood Business District,TRUE
57001047,B-1,1.4355021283487186,1.454,Kulima Golf Course,TRUE,B-1 Neighborhood Business District,TRUE
91056007,B-1,1.4049361821732214,1.43,Ko Olina Golf Club,TRUE,B-1 Neighborhood Business District,TRUE
91056016,B-1,0.9837285963250962,1,Ko Olina Golf Club,TRUE,B-1 Neighborhood Business District,TRUE
91056028,B-1,0.9784341202748705,1,Ko Olina Golf Club,TRUE,B-1 Neighborhood Business District,TRUE
91056006,B-2,1.7976222641226003,1.882,Ko Olina Golf Club,TRUE,B-2 Community Business District,TRUE
91056018,B-2,0.605924973083643,0.604,Ko Olina Golf Club,TRUE,B-2 Community Business District,TRUE
95021017,B-2,0.5437891919414477,0.526,Mililani Golf Course,TRUE,B-2 Community Business District,TRUE
91001006,C,3.45326636566831,6.6585,Ewa Beach Golf Club,TRUE,Country District,TRUE
84024001,C,2.86406649191327,2.925,Makaha Valley Country Club,TRUE,Country District,TRUE
84023015,C,1.4464773206026873,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029002,C,1.0082829985113813,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029147,C,0.5723979578028543,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84023014,C,0.5279856856590942,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029148,C,0.45463570640813916,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84002076,C,0.4029455363666989,0.446,Makaha Valley Country Club,TRUE,Country District,TRUE
84029001,C,0.2772831073674138,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
41013006,C,0.12958500966961592,NA,Unknown,TRUE,Country District,TRUE
41013008,C,0.10319483261863324,2.077,Unknown,TRUE,Country District,TRUE
84029003,C,0.09157354608623759,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84024102,C,0.07313433373984808,1.001,Makaha Valley Country Club,TRUE,Country District,TRUE
84024095,C,0.06961389292350559,1.256,Makaha Valley Country Club,TRUE,Country District,TRUE
41013036,C,0.0685507308012974,0.69,Unknown,TRUE,Country District,TRUE
84029140,C,0.03804938549429608,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029009,C,0.03065704713873214,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029005,C,0.029771221585163727,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84024094,C,0.026809488350594744,1.441,Makaha Valley Country Club,TRUE,Country District,TRUE
84029010,C,0.01951763761949335,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029008,C,0.019185055029152843,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029007,C,0.006485760442490536,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029149,C,0.0010572778579242715,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029006,C,6.254921396522721e-4,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
84029011,C,3.1160459552512443e-4,NA,Makaha Valley Country Club,TRUE,Country District,TRUE
41013034,C,7.324590930552375e-6,NA,Unknown,TRUE,Country District,TRUE
91013163,F-1,221.68021916651364,252.374,Unknown,FALSE,F-1 Federal and Military Preservation District,TRUE
