OBJECTID,ZONE_,SECTION_,PLAT,ZSP,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,Shape__Area,Shape__Length
2768,9,2,002,92002,,,GIS_EDITOR,7/10/2020 9:46:27 PM,40e75be1-f5d5-4217-b54d-d6aea57a6ef9,49685917.6953278,31842.0791215888
2769,4,2,086,42086,,,GIS_EDITOR,7/29/2020 12:22:41 AM,9f608c35-4893-4e8c-b179-6766496e93ae,1122597.84735107,5384.1131731713
2770,5,9,004,59004,,,GIS_EDITOR,8/4/2020 8:27:55 PM,a852ecc4-1006-440f-bfd9-33c65d6387d6,1805973.53674316,11400.0483150405
2771,9,7,024,97024,,,GIS_EDITOR,1/15/2021 8:36:57 PM,3f423226-8972-4e01-989c-1234db1029e5,11998675.0896378,20567.3913339857
2772,4,5,021,45021,,,GIS_EDITOR,10/29/2020 6:19:52 PM,a3ae86e4-f598-48b1-9b71-6726817b59f0,1827441.1214447,5847.99838672922
2773,5,3,005,53005,,,GIS_EDITOR,8/5/2020 7:59:29 PM,c2e23c33-2c31-4855-8ce3-564f57abdfbe,4250345.18247986,10395.4663234613
2774,1,3,039,13039,rpa,8/17/2015 1:51:24 PM,GIS_EDITOR,8/19/2020 9:10:01 PM,99fe1319-838a-46b0-911c-52b2df5aad6c,1568912.2545166,6687.75024207163
2775,1,3,001,13001,,,GIS_EDITOR,8/19/2020 9:10:01 PM,cd1278dd-4b9b-4815-95cf-54faa27e165b,1021479.07352448,4371.55592726043
2776,1,3,008,13008,,,GIS_EDITOR,8/19/2020 9:10:01 PM,04a8b149-8cc3-445b-a7ca-30a050ae5284,396906.393562317,2997.84762405605
2777,9,1,102,91102,,,GIS_EDITOR,2/4/2021 7:54:06 PM,e9ae05c5-be41-4cb7-9f7c-f6d8047f2dc7,371768.607139587,16017.4973888477
2778,3,1,012,31012,,,GIS_EDITOR,8/26/2020 1:32:45 AM,43188070-a7d2-4848-8c6d-f3a6f5352a3b,641991.503143311,3271.87454614884
2779,9,1,148,91148,,,GIS_EDITOR,8/26/2020 8:18:27 PM,183b5169-348b-4536-a96a-2f314c635af6,4183498.56760406,9828.72931992204
2780,9,1,010,91010,,,GIS_EDITOR,2/4/2021 7:54:06 PM,0c52c201-9c25-462e-9f28-acbae626af94,760275.606948853,30813.805869026
2781,9,1,107,91107,,,GIS_EDITOR,2/4/2021 7:54:06 PM,5f5165c5-6369-4199-9917-d1c251a76a1b,754192.943450928,9077.75390742256
2782,3,3,040,33040,,,GIS_EDITOR,5/27/2020 9:37:37 PM,59b2829b-1c0c-402c-8de3-3a281ffe04a2,712079.110671997,3655.35979677809
